Sno,Candidate,Constituency,Party,Criminal Cases,Education,Assets,Liabilities
182,Partha Sarathi Chatterjee(Babu),RANAGHAT UTTAR PASCHIM,BJP,0,Graduate Professional,"Rs 51,51,702 ~ 51 Lacs+","Rs 9,43,682 ~ 9 Lacs+"
183,Pawan Kumar Singh,BHATPARA,BJP,11,Graduate,"Rs 6,81,76,113 ~ 6 Crore+","Rs 84,61,362 ~ 84 Lacs+"
184,Pijush Kanti Das,CHANDIPUR,BJP,0,Others,"Rs 11,20,89,973 ~ 11 Crore+","Rs 3,70,43,125 ~ 3 Crore+"
185,Piyush Kanodia,RAJARHAT NEW TOWN,BJP,12,10th Pass,"Rs 7,00,38,000 ~ 7 Crore+","Rs 4,00,50,000 ~ 4 Crore+"
186,Pradip Kumar Bijali,HALDIA (SC),BJP,0,10th Pass,"Rs 1,04,29,671 ~ 1 Crore+","Rs 33,98,182 ~ 33 Lacs+"
187,Pradip Lodha,GARBETA,BJP,1,Graduate,"Rs 6,62,00,535 ~ 6 Crore+","Rs 2,75,35,226 ~ 2 Crore+"
188,Pran Krishna Tapadar,PURBASTHALI DAKSHIN,BJP,0,10th Pass,"Rs 12,88,16,090 ~ 12 Crore+","Rs 57,32,059 ~ 57 Lacs+"
189,Prasanta Digar,GOGHAT (SC),BJP,1,Graduate,"Rs 89,77,928 (~89 Lacs+)",Rs 0
190,Prasun Banerjee,CHANCHAL,AITC,0,Doctorate,"Rs 3,92,14,353 ~ 3 Crore+","Rs 16,03,119 ~ 16 Lacs+"
191,Priya Paul,SANKRAIL (SC),AITC,0,Post Graduate,"Rs 55,19,701 ~ 55 Lacs+",Rs 0 ~
192,Prosenjit Bag,JANGIPARA,BJP,2,10th Pass,"Rs 10,21,777 ~ 10 Lacs+","Rs 1,25,000 ~ 1 Lacs+"
193,Pulak Roy,ULUBERIA DAKSHIN,AITC,0,Graduate,"Rs 8,68,36,465 ~ 8 Crore+","Rs 49,66,980 ~ 49 Lacs+"
194,Puna Bhengra,NAGRAKATA (ST),BJP,1,10th Pass,"Rs 53,04,684 ~ 53 Lacs+","Rs 10,09,972 ~ 10 Lacs+"
195,Purnima Chakraborty,SHYAMPUKUR,BJP,1,12th Pass,"Rs 71,53,400 ~ 71 Lacs+",Rs 0 ~
196,Rahidas Mahato,BAGHMUNDI,BJP,0,Post Graduate,"Rs 1,09,940 ~ 1 Lacs+",Rs 0 ~
197,Rajendra Prasad Singh(Raju Singh),NALHATI,AITC,1,8th Pass,"Rs 2,03,55,345 ~ 2 Crore+","Rs 34,80,776 ~ 34 Lacs+"
198,Rajesh Mahata,GOPIBALLAVPUR,BJP,6,Post Graduate,"Rs 2,60,75,491 (~2 Crore+)",Rs 0
199,Raju Karmakar,BAISNABNAGAR,BJP,0,Post Graduate,"Rs 2,37,10,822 ~ 2 Crore+","Rs 21,328 ~ 21 Thou+"
200,Raju Patra,GALSI (SC),BJP,4,8th Pass,"Rs 20,89,484 ~ 20 Lacs+","Rs 6,32,430 ~ 6 Lacs+"
201,Rathin Ghosh,MADHYAMGRAM,AITC,0,12th Pass,"Rs 57,89,171 ~ 57 Lacs+",Rs 0 ~
202,Rathindra Bose,COOCHBEHAR DAKSHIN,BJP,1,Graduate Professional,"Rs 9,35,10,100 ~ 9 Crore+","Rs 3,19,95,275 ~ 3 Crore+"
203,Ratna Debnath,PANIHATI,BJP,0,Illiterate,"Rs 74,98,781 ~ 74 Lacs+",Rs 0 ~
204,Rekha Patra,HINGALGANJ (SC),BJP,2,Literate,"Rs 96,725 ~ 96 Thou+",Rs 0 ~
205,Reyat Hossain Sarkar,BHAGABANGOLA,AITC,6,Graduate,"Rs 1,71,42,232 ~ 1 Crore+",Rs 0 ~
206,Ritabrata Banerjee,ULUBERIA PURBA,AITC,3,Post Graduate,"Rs 3,31,97,176 ~ 3 Crore+","Rs 32,90,200 ~ 32 Lacs+"
207,Ritesh Tiwari,KASHIPUR-BELGACHHIA,BJP,4,Graduate,"Rs 27,88,98,708 (~27 Crores+)",Rs 0
208,Rudranil Ghosh,SHIBPUR,BJP,1,Graduate,"Rs 2,29,44,579 ~ 2 Crore+","Rs 73,13,840 ~ 73 Lacs+"
209,Rukbanur Rahman,PALASHIPARA,AITC,0,Post Graduate,"Rs 41,22,463 ~ 41 Lacs+","Rs 10,06,500 ~ 10 Lacs+"
210,Rupa Ganguly,SONARPUR DAKSHIN,BJP,5,Graduate,"Rs 9,39,54,158 ~ 9 Crore+",Rs 0 ~
211,Sabina Yeasmin,SUJAPUR,AITC,1,Post Graduate,"Rs 5,58,67,265 ~ 5 Crore+","Rs 75,70,667 ~ 75 Lacs+"
212,Sabitri Barman,SITALKUCHI (SC),BJP,2,12th Pass,"Rs 45,02,094 ~ 45 Lacs+",Rs 0 ~
213,Sadhan Ghosh,KRISHNANAGAR DAKSHIN,BJP,1,12th Pass,"Rs 2,42,20,260 ~ 2 Crore+","Rs 74,97,000 ~ 74 Lacs+"
214,Saikat Panja,MONTESWAR,BJP,2,Post Graduate,"Rs 44,62,694 ~ 44 Lacs+","Rs 12,04,782 ~ 12 Lacs+"
215,Sajal Ghosh,BARANAGAR,BJP,20,Graduate,"Rs 5,43,90,512 ~ 5 Crore+","Rs 56,82,460 ~ 56 Lacs+"
216,Samar Mukherjee,RATUA,AITC,0,12th Pass,"Rs 9,72,465 (~9 Lacs+)",Rs 0
217,Samarendranath Ghosh,KARIMPUR,BJP,2,Post Graduate,"Rs 70,56,229 ~ 70 Lacs+",Rs 0 ~
218,Samir Kumar Jana,PATHARPRATIMA,AITC,0,Post Graduate,"Rs 57,50,920 ~ 57 Lacs+",Rs 0 ~
219,Samir Kumar Panja,UDAYNARAYANPUR,AITC,0,Graduate Professional,"Rs 2,90,91,929 ~ 2 Crore+",Rs 0 ~
220,Sanat Sardar,SANDESHKHALI (ST),BJP,1,Post Graduate,"Rs 87,88,651 ~ 87 Lacs+","Rs 28,47,195 ~ 28 Lacs+"
221,Sandipan Saha,ENTALLY,AITC,0,Graduate,"Rs 11,93,79,822 ~ 11 Crore+","Rs 30,00,000 ~ 30 Lacs+"
222,Sangita Roy,SITAI (SC),AITC,0,12th Pass,"Rs 77,45,825 ~ 77 Lacs+",Rs 0 ~
223,Sanjay Kumar Singh,BALLY,BJP,8,Graduate,"Rs 6,60,88,811 ~ 6 Crore+",Rs 0 ~
224,Sankar Chatterjee,BARASAT,BJP,3,Graduate,"Rs 18,00,008 ~ 18 Lacs+",Rs 0 ~
225,Sankar Kumar Guchhait,MEDINIPUR,BJP,29,Doctorate,"Rs 5,15,41,723 (~5 Crore+)","Rs 1,84,98,500 (~1 Crore+)"
226,Sankar Sikder,BEHALA PURBA,BJP,3,Graduate Professional,"Rs 3,39,06,000 ~ 3 Crore+","Rs 7,60,000 ~ 7 Lacs+"
227,Santanu Dey,NAKASHIPARA,BJP,0,12th Pass,"Rs 1,03,33,070 ~ 1 Crore+","Rs 2,23,081 ~ 2 Lacs+"
228,Santanu Pramanik,BHAGABANPUR,BJP,4,Post Graduate,"Rs 33,40,567 ~ 33 Lacs+","Rs 7,96,168 ~ 7 Lacs+"
229,Santu Pan,TARAKESWAR,BJP,4,Post Graduate,"Rs 50,51,743 ~ 50 Lacs+","Rs 3,06,680 ~ 3 Lacs+"
230,Sarbori Mukherjee,JADAVPUR,BJP,2,Graduate,"Rs 86,00,117 ~ 86 Lacs+","Rs 51,38,806 ~ 51 Lacs+"
231,Sarmistha Purkait,MAGRAHAT PURBA (SC),AITC,0,Post Graduate,"Rs 63,16,629 ~ 63 Lacs+",Rs 0 ~
232,Satyanarayan Mukhopadhyay,CHHATNA,BJP,0,Graduate Professional,"Rs 97,34,602 ~ 97 Lacs+","Rs 13,00,000 ~ 13 Lacs+"
233,Satyendra Nath Roy,GANGARAMPUR (SC),BJP,2,10th Pass,"Rs 13,96,200 ~ 13 Lacs+","Rs 18,61,000 ~ 18 Lacs+"
234,Seuli Saha,KESHPUR (SC),AITC,0,Graduate Professional,"Rs 4,96,85,957 (~4 Crore+)","Rs 74,52,484 (~74 Lacs+)"
235,Shankar Ghosh,SILIGURI,BJP,3,Doctorate,"Rs 2,50,09,233 ~ 2 Crore+","Rs 8,00,205 ~ 8 Lacs+"
236,Sharadwat Mukherjee,BIDHANNAGAR,BJP,0,Post Graduate,"Rs 15,72,26,453 ~ 15 Crore+","Rs 48,30,854 ~ 48 Lacs+"
237,Shishir Ghosh,MONGALKOTE,BJP,2,10th Pass,"Rs 82,54,295 ~ 82 Lacs+","Rs 9,62,970 ~ 9 Lacs+"
238,Shukla Chatterjee,BISHNUPUR,BJP,1,Graduate,"Rs 5,25,103 ~ 5 Lacs+",Rs 0 ~
239,Siddhartha Majumdar,KALNA (SC),BJP,0,Post Graduate,"Rs 1,26,01,367 ~ 1 Crore+","Rs 82,72,316 ~ 82 Lacs+"
240,Sikha Chatterjee,DABGRAM-FULBARI,BJP,6,10th Pass,"Rs 1,05,26,160 ~ 1 Crore+","Rs 9,54,500 ~ 9 Lacs+"
241,Sintu Senapati,PANSKURA PASCHIM,BJP,14,Graduate,"Rs 43,29,000 ~ 43 Lacs+",Rs 0 ~
242,Sital Kapat,GHATAL (SC),BJP,7,12th Pass,"Rs 26,00,817 ~ 26 Lacs+","Rs 10,01,808 ~ 10 Lacs+"
243,Sobhandeb Chattopadhyay,BALLYGUNGE,AITC,0,Graduate Professional,"Rs 10,22,23,379 (~10 Crores+)",Rs 0
244,Soma Thakur,BAGDA (SC),BJP,3,Post Graduate,"Rs 1,92,87,788 ~ 1 Crore+","Rs 1,72,18,000 ~ 1 Crore+"
245,Sonam Lama,KURSEONG,BJP,0,Graduate,"Rs 21,38,076 ~ 21 Lacs+","Rs 7,38,385 ~ 7 Lacs+"
246,Sourav Sikdar,DUM DUM UTTAR,BJP,3,Graduate,"Rs 1,73,82,219 ~ 1 Crore+","Rs 33,91,076 ~ 33 Lacs+"
247,Souvik Patra,TALDANGRA,BJP,3,12th Pass,"Rs 18,16,148 ~ 18 Lacs+",Rs 0 ~
248,Srutisekhar Goswami,NABADWIP,BJP,1,Post Graduate,"Rs 65,87,612 ~ 65 Lacs+",Rs 0 ~
249,Subhas Chandra Panja,MAHISHADAL,BJP,0,Others,"Rs 6,91,68,067 ~ 6 Crore+","Rs 2,05,91,391 ~ 2 Crore+"
250,Subhash Patra,RAINA (SC),BJP,0,Post Graduate,"Rs 6,91,911 ~ 6 Lacs+","Rs 4,65,515 ~ 4 Lacs+"
251,Subhashis Om,DEBRA,BJP,1,Post Graduate,"Rs 67,26,188 ~ 67 Lacs+",Rs 0 ~
252,Subhasis Das,MAHESHTALA,AITC,1,8th Pass,"Rs 1,07,28,898 (~1 Crore+)",Rs 0
253,Subir Nag,CHUNCHURA,BJP,8,Others,"Rs 3,72,80,563 ~ 3 Crore+",Rs 0 ~
254,Subrata Kabiraj,TEHATTA,BJP,1,Graduate,"Rs 98,74,309 ~ 98 Lacs+","Rs 2,20,235 ~ 2 Lacs+"
255,Subrata Maitra (Kanchan),BAHARAMPUR,BJP,6,Graduate,"Rs 1,38,27,050 ~ 1 Crore+",Rs 0 ~
256,Subrata Maity(Rana),PANSKURA PURBA,BJP,0,Others,"Rs 11,85,68,935 ~ 11 Crore+","Rs 3,68,37,273 ~ 3 Crore+"
257,Subrata Paik,KHEJURI (SC),BJP,2,8th Pass,"Rs 16,49,357 ~ 16 Lacs+","Rs 2,80,000 ~ 2 Lacs+"
258,Subrata Thakur,GAIGHATA (SC),BJP,3,Others,"Rs 72,50,656 ~ 72 Lacs+","Rs 14,21,685 ~ 14 Lacs+"
259,Sudip Kumar Mukherjee,PURULIA,BJP,3,8th Pass,"Rs 11,55,48,432 ~ 11 Crore+","Rs 14,55,284 ~ 14 Lacs+"
260,Sudipta Das,BIJPUR,BJP,9,12th Pass,"Rs 3,28,272 ~ 3 Lacs+",Rs 0 ~
261,Sukanta Biswas,KRISHNAGANJ (SC),BJP,0,Post Graduate,"Rs 6,28,85,048 (~6 Crore+)","Rs 13,65,962 (~13 Lacs+)"
262,Sukanta Dolui,CHANDRAKONA (SC),BJP,0,Graduate,"Rs 7,97,754 ~ 7 Lacs+",Rs 0 ~
263,Sukhen Kumar Bagdi,BURWAN (SC),BJP,1,10th Pass,"Rs 14,07,000 ~ 14 Lacs+",Rs 0 ~
264,Sukra Munda,MAL (ST),BJP,1,12th Pass,"Rs 71,70,993 ~ 71 Lacs+",Rs 0 ~
265,Sukumar Ray,COOCHBEHAR UTTAR (SC),BJP,9,8th Pass,"Rs 2,05,24,682 ~ 2 Crore+","Rs 5,25,275 ~ 5 Lacs+"
266,Sumana Sarkar,BALAGARH (SC),BJP,0,Post Graduate,"Rs 24,83,787 ~ 24 Lacs+",Rs 0 ~
267,Sumanta Mandal,SAGAR,BJP,1,Post Graduate,"Rs 39,68,016 ~ 39 Lacs+","Rs 23,50,000 ~ 23 Lacs+"
268,Sumita Sinha,KANTHI UTTAR,BJP,0,Graduate,"Rs 5,48,82,163 ~ 5 Crore+","Rs 22,68,167 ~ 22 Lacs+"
269,Sumitro Chatterjee,NAIHATI,BJP,1,Graduate Professional,"Rs 2,20,56,195 ~ 2 Crore+",Rs 0 ~
270,Surajit Mitra (Badal),BASIRHAT DAKSHIN,AITC,1,Graduate,"Rs 7,97,11,648 (~7 Crore+)","Rs 1,00,000 (~1 Lakh+)"
271,Susanta Ghosh,KHANAKUL,BJP,10,12th Pass,"Rs 72,65,988 ~ 72 Lacs+","Rs 1,94,800 ~ 1 Lacs+"
272,Suvendu Adhikari,NANDIGRAM,BJP,29,Post Graduate,"Rs 85,87,600 ~ 85 Lacs+",Rs 0 ~
273,Suvendu Adhikari,BHABANIPUR,BJP,29,Post Graduate,"Rs 85,87,600 ~ 85 Lacs+",Rs 0 ~
274,Swagata Manna,PINGLA,BJP,2,Graduate,"Rs 1,77,38,750 ~ 1 Crore+",Rs 0 ~
275,Swapan Kumar Das,SANTIPUR,BJP,1,Graduate Professional,"Rs 16,83,831 ~ 16 Lacs+",Rs 0 ~
276,Swapan Majumder,BANGAON DAKSHIN (SC),BJP,17,12th Pass,"Rs 3,87,95,771 ~ 3 Crore+","Rs 1,37,18,407 ~ 1 Crore+"
277,Swaraj Ghosh,SAPTAGRAM,BJP,4,10th Pass,"Rs 28,98,63,958 ~ 28 Crore+","Rs 2,38,79,791 ~ 2 Crore+"
278,Swati Khandoker,CHANDITALA,AITC,0,12th Pass,"Rs 1,31,74,320 ~ 1 Crore+","Rs 12,00,000 ~ 12 Lacs+"
279,Tapan Kumar Dutta,DASPUR,BJP,3,12th Pass,"Rs 5,07,84,388 (~5 Crore+)",Rs 0
280,Tapan Maity,PATASHPUR,BJP,10,Graduate,"Rs 5,48,23,865 ~ 5 Crore+","Rs 48,04,572 ~ 48 Lacs+"
281,Tapas Chandra Roy,KUSHMANDI (SC),BJP,1,Graduate,"Rs 14,60,222 ~ 14 Lacs+","Rs 1,19,648 ~ 1 Lacs+"
282,Tapas Maity,DOMJUR,AITC,1,12th Pass,"Rs 4,09,54,032 ~ 4 Crore+",Rs 0 ~
283,Tapas Mondal S/O-Shibprasad Mondal,RAIDIGHI,AITC,0,Post Graduate,"Rs 32,08,293 ~ 32 Lacs+",Rs 0 ~
284,Tapas Roy,MANIKTALA,BJP,0,Graduate Professional,"Rs 4,01,89,113 ~ 4 Crore+","Rs 32,00,000 ~ 32 Lacs+"
285,Tarak Nath Chatterjee,KRISHNANAGAR UTTAR,BJP,3,Post Graduate,"Rs 98,36,363 ~ 98 Lacs+","Rs 20,75,000 ~ 20 Lacs+"
286,Tarunjyoti Tewari,RAJARHAT GOPALPUR,BJP,3,Graduate Professional,"Rs 2,59,49,689 ~ 2 Crore+","Rs 60,00,000 ~ 60 Lacs+"
287,Toraf Hossain Mandal,KUMARGANJ,AITC,0,Graduate,"Rs 93,22,868 ~ 93 Lacs+",Rs 0 ~
288,Tusar Kumar Majumdar,PANDUA,BJP,2,12th Pass,"Rs 3,15,68,724 (~3 Crore+)",Rs 0
289,Umesh Rai,HOWRAH UTTAR,BJP,19,Graduate,"Rs 76,17,624 ~ 76 Lacs+",Rs 0 ~
290,Usha Rani Mondal,MINAKHAN (SC),AITC,0,8th Pass,"Rs 2,37,58,335 ~ 2 Crore+","Rs 19,68,000 ~ 19 Lacs+"
291,Utpal Brahmacharo,KALIAGANJ (SC),BJP,0,Graduate,"Rs 44,34,501 ~ 44 Lacs+",Rs 0 ~
292,Vijay Ojha,JORASANKO,BJP,7,10th Pass,"Rs 2,25,60,985 ~ 2 Crore+","Rs 14,89,368 ~ 14 Lacs+"
