Sno,Candidate,Constituency,Party,Criminal Cases,Education,Assets,Liabilities
49,Bharat Kumar Chetri,KALIMPONG,BJP,0,10th Pass,"Rs 1,23,13,801 ~ 1 Crore+","Rs 25,65,497 ~ 25 Lacs+"
50,Bharat Kumar Jhawar,BELDANGA,BJP,0,Graduate,"Rs 10,89,31,440 ~ 10 Crore+","Rs 1,75,69,745 ~ 1 Crore+"
51,Bhaskar Bhattacharya,SREERAMPUR,BJP,1,Graduate Professional,"Rs 1,43,97,276 ~ 1 Crore+","Rs 96,332 ~ 96 Thou+"
52,Bidhan Chandra Majhi,NANOOR (SC),AITC,0,Post Graduate,"Rs 1,27,20,369 ~ 1 Crore+","Rs 29,90,187 ~ 29 Lacs+"
53,Bidyut Kumar Roy,BALURGHAT,BJP,0,Graduate Professional,"Rs 1,53,87,870 ~ 1 Crore+","Rs 6,00,000 ~ 6 Lacs+"
54,Bikarna Naskar,GOSABA (SC),BJP,10,10th Pass,"Rs 14,45,297 ~ 14 Lacs+","Rs 6,18,000 ~ 6 Lacs+"
55,Billeswar Sinha,BARJORA,BJP,1,Graduate Professional,"Rs 29,65,619 ~ 29 Lacs+",Rs 0 ~
56,Biman Banerjee,BARUIPUR PASCHIM,AITC,0,Post Graduate,"Rs 3,71,49,363 ~ 3 Crore+",Rs 0 ~
57,Biman Ghosh,PURSURAH,BJP,2,Graduate,"Rs 36,77,344 ~ 36 Lacs+","Rs 2,71,271 ~ 2 Lacs+"
58,Biman Mahata,SALBONI,BJP,6,Post Graduate,"Rs 9,27,005 ~ 9 Lacs+","Rs 8,034 ~ 8 Thou+"
59,Bina Mondal,SWARUPNAGAR (SC),AITC,0,Graduate,"Rs 3,93,97,424 ~ 3 Crore+",Rs 0 ~
60,Biplab Mitra,HARIRAMPUR,AITC,0,Graduate Professional,"Rs 3,71,92,523 ~ 3 Crore+","Rs 63,750 ~ 63 Thou+"
61,Biraj Biswas,KARANDIGHI,BJP,5,Graduate Professional,"Rs 19,43,000 ~ 19 Lacs+",Rs 0 ~
62,Bishal Lama,KALCHINI (ST),BJP,6,Graduate,"Rs 27,71,281 ~ 27 Lacs+","Rs 7,00,000 ~ 7 Lacs+"
63,Biswajit Mahato,JOYPUR,BJP,4,Graduate Professional,"Rs 17,33,949 ~ 17 Lacs+","Rs 92,396 ~ 92 Thou+"
64,Biswanath Das,JOYNAGAR (SC),AITC,0,Post Graduate,"Rs 1,44,07,504 ~ 1 Crore+","Rs 16,02,450 ~ 16 Lacs+"
65,Bivas Sardar,BARUIPUR PURBA (SC),AITC,0,Graduate,"Rs 1,31,42,462 ~ 1 Crore+","Rs 22,58,845 ~ 22 Lacs+"
66,Budhrai Tudu,TAPAN (ST),BJP,2,Graduate Professional,"Rs 86,69,715 ~ 86 Lacs+","Rs 25,15,620 ~ 25 Lacs+"
67,Burhanul Mukaddim (Liton),BADURIA,AITC,0,Post Graduate,"Rs 1,75,51,789 ~ 1 Crore+","Rs 52,20,000 ~ 52 Lacs+"
68,Chandana Bauri,SALTORA (SC),BJP,2,10th Pass,"Rs 10,26,880 ~ 10 Lacs+","Rs 2,50,000 ~ 2 Lacs+"
69,Chandra Sekhar Banerjee,DURGAPUR PURBA,BJP,6,Graduate,"Rs 2,19,81,546 ~ 2 Crore+","Rs 22,25,547 ~ 22 Lacs+"
70,Chandranath Sinha,BOLPUR,AITC,1,Post Graduate,"Rs 6,48,61,255 ~ 6 Crore+",Rs 0 ~
71,Chinmoy Deb Barman,GAZOLE (SC),BJP,5,Post Graduate,"Rs 1,83,55,412 ~ 1 Crore+","Rs 9,95,000 ~ 9 Lacs+"
72,Chiran Bera,ULUBERIA UTTAR (SC),BJP,4,10th Pass,"Rs 17,768~ 17 Thou+.",Rs 0 ~
73,Chitta Mukherjee,JANGIPUR,BJP,4,Graduate Professional,"Rs 2,75,28,575 ~ 2 Crore+","Rs 3,45,207 ~ 3 Lacs+"
74,Dadhiram Ray,MEKLIGANJ (SC),BJP,16,12th Pass,"Rs 63,37,495 ~ 63 Lacs+","Rs 2,43,406 ~ 2 Lacs+"
75,Dalim Chandra Roy,MAYNAGURI (SC),BJP,1,12th Pass,"Rs 4,24,64,234 ~ 4 Crore+",Rs 0 ~
76,Dasgupta Swapan,RASHBEHARI,BJP,0,Doctorate,"Rs 8,08,00,376 ~ 8 Crore+",Rs 0 ~
77,Debasis Ojha (Haku Da),LABHPUR,BJP,1,8th Pass,"Rs 1,15,41,252 ~ 1 Crore+",Rs 0 ~
78,Debasish Dhar,SONARPUR UTTAR,BJP,0,Graduate,"Rs 2,48,30,694 ~ 2 Crore+",Rs 0 ~
79,Debdas Mondal,HABRA,BJP,13,Literate,"Rs 1,51,53,734 ~ 1 Crore+",Rs 0 ~
80,Deepanjan Kumar Guha,CHANDANNAGAR,BJP,1,Post Graduate,"Rs 1,68,31,344 ~ 1 Crore+","Rs 9,16,350 ~ 9 Lacs+"
81,Dhruba Saha,RAMPURHAT,BJP,16,Graduate,"Rs 2,75,38,222~ 2 Crore+.",Rs 0 ~
82,Dibakar Gharami,SONAMUKHI (SC),BJP,1,8th Pass,"Rs 14,79,500 ~ 14 Lacs+",Rs 0 ~
83,Dilip Ghosh,KHARAGPUR SADAR,BJP,28,Others,"Rs 3,07,19,695 ~ 3 Crore+",Rs 0 ~
84,Dilip Mondal,BISHNUPUR (SC),AITC,0,12th Pass,"Rs 3,28,84,857 ~ 3 Crore+","Rs 54,06,547 ~ 54 Lacs+"
85,Dilip Saha,NABAGRAM (SC),BJP,0,8th Pass,"Rs 43,03,96,618 ~ 43 Crore+",Rs 0 ~
86,Dilip Singh,CHAMPDANI,BJP,0,10th Pass,"Rs 3,55,57,610 ~ 3 Crore+","Rs 1,47,25,435 ~ 1 Crore+"
87,Dinen Roy,KHARAGPUR,AITC,17,12th Pass,"Rs 5,77,02,870 ~ 5 Crore+","Rs 6,01,901 ~ 6 Lacs+"
88,Dinesh Sarkar,RAJGANJ (SC),BJP,2,10th Pass,"Rs 1,57,44,745 ~ 1 Crore+",Rs 0 ~
89,Dipak Barman,FALAKATA (SC),BJP,7,Post Graduate,"Rs 1,36,83,978 ~ 1 Crore+","Rs 16,89,758 ~ 16 Lacs+"
90,Dipanjan Chakraborty,UTTARPARA,BJP,0,Graduate,"Rs 2,16,21,377~ 2 Crore+.",Rs 0 ~
91,Dipankar Jana,KAKDWIP,BJP,3,Graduate,"Rs 22,47,43,165 ~ 22 Crore+","Rs 10,27,44,080 ~ 10 Crore+"
92,Dr. Bijan Mukherjee,JAMURIA,BJP,0,Post Graduate,"Rs 7,88,53,284 ~ 7 Crore+","Rs 91,88,786 ~ 91 Lacs+"
93,Dr. Chandra Sekhar Mondal,RAMNAGAR,BJP,0,Post Graduate,"Rs 50,60,242 ~ 50 Lacs+","Rs 5,37,700 ~ 5 Lacs+"
94,Dr. Hiranmoy Chattopadhyaya (Hiraan),SHYAMPUR,BJP,2,Doctorate,"Rs 12,89,41,624 ~ 12 Crore+","Rs 2,26,15,854 ~ 2 Crore+"
95,Dr. Indranil Khan,BEHALA PASCHIM,BJP,6,Post Graduate,"Rs 3,33,73,654 ~ 3 Crore+","Rs 9,31,175 ~ 9 Lacs+"
96,Dr. Mosarraf Hossain,MURARAI,AITC,0,Graduate Professional,"Rs 8,87,07,097 ~ 8 Crore+","Rs 7,03,525 ~ 7 Lacs+"
97,Dr. Pranat Tudu,BINPUR (ST),BJP,1,Graduate Professional,"Rs 5,76,09,000 ~ 5 Crore+","Rs 23,00,000 ~ 23 Lacs+"
98,Dr. Rajesh Kumar,JAGATDAL,BJP,0,Doctorate,"Rs 5,77,32,587 ~ 5 Crore+","Rs 1,17,55,052 ~ 1 Crore+"
99,Dr. Sumay Hira,ASHOKNAGAR,BJP,2,Graduate Professional,"Rs 4,32,71,881 ~ 4 Crore+.","Rs 30,00,000~ 30 Lacs+."
100,Dudh Kumar Mondal,MAYURESWAR,BJP,8,Graduate,"Rs 1,08,87,455~ 1 Crore+","Rs 9,067 ~ 9 Thou+"
101,Durga Murmu,PHANSIDEWA (ST),BJP,1,12th Pass,"Rs 1,49,57,782 ~ 1 Crore+","Rs 5,79,313 ~ 5 Lacs+"
102,Emani Biswas,SUTI,AITC,1,Graduate,"Rs 9,70,27,270 ~ 9 Crore+","Rs 3,86,46,804 ~ 3 Crore+"
103,Fayezul Haque (Kajal Sk),HANSAN,AITC,6,Graduate,"Rs 3,28,87,798 ~ 3 Crore+",Rs 0 ~
104,Firhad Hakim,KOLKATA PORT,AITC,2,Graduate,"Rs 22,57,53,159 ~ 22 Crore+","Rs 1,36,79,175 ~ 1 Crore+"
105,Ganesh Chandra Mondal,KULTALI (SC),AITC,0,Graduate,"Rs 10,52,29,491 ~ 10 Crore+","Rs 2,70,49,954 ~ 2 Crore+"
106,Gargi Das Ghosh,KANDI,BJP,2,Graduate,"Rs 16,40,74,348 ~ 16 Crore+","Rs 1,68,45,972 ~ 1 Crore+"
107,Giri Ramaprasad,NARAYANGARH,BJP,6,Graduate,"Rs 91,53,947 ~ 91 Lacs+","Rs 3,04,498 ~ 3 Lacs+"
108,Girija Shankar Ray,NATABARI,BJP,3,Graduate,"Rs 49,95,259~ 49 Lacs+.",Rs 0 ~
109,Gopal Chandra Saha,MALDAHA (SC),BJP,0,Graduate,"Rs 4,68,31,990 ~ 4 Crore+","Rs 4,32,24,019 ~ 4 Crore+"
110,Gopal Chattopadhyay,PURBASTHALI UTTAR,BJP,3,Graduate Professional,"Rs 1,02,71,361 ~ 1 Crore+",Rs 0 ~
111,Gour Chandra Mandal,MANIKCHAK,BJP,3,Graduate,"Rs 7,01,57,348 ~ 7 Crore+","Rs 2,52,05,584 ~ 2 Crore+"
112,Gouri Sankar Ghosh,MURSHIDABAD,BJP,4,Post Graduate,"Rs 84,70,197 ~ 84 Lacs+",Rs 0 ~
113,Gulsan Mullick,PANCHLA,AITC,0,12th Pass,"Rs 2,93,20,031 ~ 2 Crore+","Rs 2,84,541 ~ 2 Lacs+"
114,Hamidul Rahaman,CHOPRA,AITC,1,12th Pass,"Rs 2,27,33,331 ~ 2 Crore+","Rs 16,00,000 ~ 16 Lacs+"
115,Hare Krishna Bera,TAMLUK,BJP,0,Post Graduate,"Rs 7,93,14,028 ~ 7 Crore+","Rs 27,05,775 ~ 27 Lacs+"
116,Haripada Barman,HEMTABAD (SC),BJP,0,Post Graduate,"Rs 1,76,55,883 ~ 1 Crore+","Rs 23,65,920 ~ 23 Lacs+"
117,Humayun Kabir,NOWDA,Aam Janata Unnayan party,4,Graduate,"Rs 4,44,14,849~ 4 Crore+.",Rs 0 ~
118,Humayun Kabir,REJINAGAR,Aam Janata Unnayan party,4,Graduate,"Rs 4,44,14,849 ~ 4 Crore+",Rs 0 ~
119,Islam Md Najrul,MOTHABARI,AITC,0,Graduate,"Rs 1,04,97,228 ~ 1 Crore+","Rs 8,15,559 ~ 8 Lacs+"
120,Jagannath Chattopadhyay,SURI,BJP,1,Post Graduate,"Rs 1,95,24,400 ~ 1 Crore+",Rs 0 ~
